Time,Ostatnio
10/02/2022,4.2435
09/02/2022,4.2495
08/02/2022,4.2842
07/02/2022,4.2858
04/02/2022,4.3042
03/02/2022,4.3097
02/02/2022,4.3669
01/02/2022,4.3946
31/01/2022,4.3960
28/01/2022,4.4097
27/01/2022,4.3903
26/01/2022,4.4108
25/01/2022,4.4108
24/01/2022,4.4077
21/01/2022,4.3754
20/01/2022,4.3592
19/01/2022,4.3496
18/01/2022,4.3576
17/01/2022,4.3342
14/01/2022,4.3425
13/01/2022,4.3468
12/01/2022,4.3214
11/01/2022,4.3181
10/01/2022,4.3187
07/01/2022,4.3511
06/01/2022,4.3708
05/01/2022,4.4034
04/01/2022,4.4110
03/01/2022,4.4038
31/12/2021,4.4176
30/12/2021,4.4318
29/12/2021,4.4219
28/12/2021,4.4289
27/12/2021,4.4224
24/12/2021,4.4339
23/12/2021,4.4456
22/12/2021,4.4412
21/12/2021,4.4269
20/12/2021,4.4484
17/12/2021,4.4552
16/12/2021,4.4426
15/12/2021,4.4196
14/12/2021,4.4429
13/12/2021,4.4492
10/12/2021,4.4246
09/12/2021,4.4076
08/12/2021,4.4121
07/12/2021,4.3896
06/12/2021,4.3901
03/12/2021,4.4227
02/12/2021,4.4169
01/12/2021,4.4317
30/11/2021,4.4648
29/11/2021,4.4852
26/11/2021,4.4956
25/11/2021,4.4486
24/11/2021,4.4635
23/11/2021,4.4760
22/11/2021,4.4845
19/11/2021,4.4783
18/11/2021,4.4289
17/11/2021,4.4314
16/11/2021,4.4178
15/11/2021,4.4074
12/11/2021,4.3929
11/11/2021,4.3924
10/11/2021,4.3714
09/11/2021,4.3400
08/11/2021,4.3355
05/11/2021,4.3532
04/11/2021,4.3536
03/11/2021,4.3231
02/11/2021,4.3463
01/11/2021,4.3703
29/10/2021,4.3490
28/10/2021,4.3379
27/10/2021,4.3330
26/10/2021,4.3131
25/10/2021,4.3175
22/10/2021,4.3108
21/10/2021,4.3076
20/10/2021,4.2747
19/10/2021,4.2573
18/10/2021,4.2723
15/10/2021,4.2645
14/10/2021,4.2609
13/10/2021,4.2625
12/10/2021,4.2643
11/10/2021,4.2783
08/10/2021,4.2833
07/10/2021,4.2672
06/10/2021,4.2398
05/10/2021,4.2754
04/10/2021,4.2710
01/10/2021,4.2360
30/09/2021,4.2669
29/09/2021,4.2697
28/09/2021,4.2648
27/09/2021,4.2409
24/09/2021,4.2413
23/09/2021,4.2482
22/09/2021,4.2649
21/09/2021,4.2623
20/09/2021,4.2283
17/09/2021,4.1935
16/09/2021,4.1869
15/09/2021,4.1951
14/09/2021,4.1813
13/09/2021,4.1729
10/09/2021,4.1879
09/09/2021,4.1868
08/09/2021,4.1438
07/09/2021,4.1375
06/09/2021,4.1599
03/09/2021,4.1475
02/09/2021,4.1528
01/09/2021,4.1547
31/08/2021,4.1810
30/08/2021,4.2119
27/08/2021,4.2521
26/08/2021,4.2386
25/08/2021,4.2477
24/08/2021,4.2595
23/08/2021,4.2727
20/08/2021,4.2670
19/08/2021,4.2677
18/08/2021,4.2382
17/08/2021,4.2584
16/08/2021,4.2415
13/08/2021,4.2245
12/08/2021,4.2197
11/08/2021,4.2271
10/08/2021,4.2272
09/08/2021,4.2205
