"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"10.02.2022","4,4987","4,4955","4,5089","4,4815","0,23%"
"09.02.2022","4,4883","4,5276","4,5340","4,4879","-0,77%"
"08.02.2022","4,5233","4,5369","4,5468","4,5226","-0,22%"
"07.02.2022","4,5331","4,5735","4,5737","4,5311","-0,71%"
"04.02.2022","4,5653","4,5414","4,5722","4,5341","0,65%"
"03.02.2022","4,5356","4,5402","4,5506","4,5184","0,02%"
"02.02.2022","4,5347","4,5703","4,5770","4,5363","-0,65%"
"01.02.2022","4,5645","4,5833","4,5915","4,5628","-0,34%"
"31.01.2022","4,5800","4,5831","4,6036","4,5770","0,12%"
"28.01.2022","4,5746","4,5596","4,6027","4,5525","0,44%"
"27.01.2022","4,5546","4,5852","4,5972","4,5455","-0,57%"
"26.01.2022","4,5808","4,5815","4,6006","4,5774","0,07%"
"25.01.2022","4,5776","4,5653","4,5978","4,5617","0,35%"
"24.01.2022","4,5616","4,5304","4,5824","4,5195","0,83%"
"21.01.2022","4,5241","4,5262","4,5510","4,5083","0,09%"
"20.01.2022","4,5200","4,5230","4,5328","4,5097","0,04%"
"19.01.2022","4,5180","4,5300","4,5464","4,5163","-0,21%"
"18.01.2022","4,5274","4,5251","4,5415","4,5198","0,17%"
"17.01.2022","4,5198","4,5367","4,5440","4,5160","-0,25%"
"14.01.2022","4,5312","4,5421","4,5481","4,5307","-0,13%"
"13.01.2022","4,5373","4,5274","4,5461","4,5205","0,34%"
"12.01.2022","4,5218","4,5367","4,5449","4,5181","-0,25%"
"11.01.2022","4,5330","4,5410","4,5498","4,5349","-0,06%"
"10.01.2022","4,5359","4,5476","4,5531","4,5282","-0,15%"
"07.01.2022","4,5426","4,5532","4,5616","4,5408","-0,11%"
"06.01.2022","4,5477","4,5753","4,5863","4,5504","-0,47%"
"05.01.2022","4,5691","4,5648","4,5800","4,5612","0,21%"
"04.01.2022","4,5597","4,5776","4,5855","4,5612","-0,30%"
"03.01.2022","4,5733","4,5873","4,6006","4,5715","-0,21%"
"31.12.2021","4,5830","4,5896","4,6045","4,5813","-0,03%"
"30.12.2021","4,5842","4,5965","4,6069","4,5855","-0,15%"
"29.12.2021","4,5909","4,6024","4,6083","4,5907","-0,11%"
"28.12.2021","4,5960","4,6032","4,6135","4,5907","-0,02%"
"27.12.2021","4,5971","4,6202","4,6318","4,5952","-0,35%"
"24.12.2021","4,6134","4,6330","4,6374","4,6103","-0,29%"
"23.12.2021","4,6266","4,6332","4,6413","4,6205","-0,03%"
"22.12.2021","4,6279","4,6179","4,6393","4,6133","0,27%"
"21.12.2021","4,6153","4,6287","4,6397","4,6166","-0,13%"
"20.12.2021","4,6214","4,6328","4,6464","4,6209","-0,10%"
"17.12.2021","4,6262","4,6322","4,6430","4,6224","-0,03%"
"16.12.2021","4,6275","4,6186","4,6430","4,6165","0,29%"
"15.12.2021","4,6140","4,6275","4,6382","4,6112","-0,19%"
"14.12.2021","4,6228","4,6382","4,6483","4,6197","-0,25%"
"13.12.2021","4,6345","4,6167","4,6434","4,6040","0,51%"
"10.12.2021","4,6108","4,6028","4,6273","4,5998","0,30%"
"09.12.2021","4,5969","4,6118","4,6269","4,5960","-0,23%"
"08.12.2021","4,6073","4,5828","4,6231","4,5774","0,65%"
"07.12.2021","4,5774","4,5948","4,6047","4,5786","-0,22%"
"06.12.2021","4,5876","4,6013","4,6063","4,5837","-0,14%"
"03.12.2021","4,5941","4,5986","4,6242","4,5827","0,03%"
"02.12.2021","4,5929","4,6225","4,6293","4,5863","-0,53%"
"01.12.2021","4,6175","4,6575","4,6624","4,6070","-0,74%"
"30.11.2021","4,6518","4,6805","4,6913","4,6486","-0,50%"
"29.11.2021","4,6750","4,7050","4,7151","4,6745","-0,59%"
"26.11.2021","4,7026","4,6751","4,7274","4,6733","0,75%"
"25.11.2021","4,6675","4,6777","4,6867","4,6627","-0,10%"
"24.11.2021","4,6720","4,7026","4,7082","4,6693","-0,54%"
"23.11.2021","4,6975","4,7063","4,7305","4,6919","-0,07%"
"22.11.2021","4,7009","4,6982","4,7269","4,6809","0,15%"
"19.11.2021","4,6937","4,6695","4,7049","4,6599","0,62%"
"18.11.2021","4,6646","4,6617","4,6774","4,6472","0,15%"
"17.11.2021","4,6578","4,6557","4,6657","4,6441","0,15%"
"16.11.2021","4,6510","4,6408","4,6695","4,6354","0,32%"
"15.11.2021","4,6361","4,6435","4,6518","4,6213","0,03%"
"12.11.2021","4,6345","4,6354","4,6530","4,6266","0,05%"
"11.11.2021","4,6320","4,6117","4,6411","4,6034","0,58%"
"10.11.2021","4,6055","4,5912","4,6244","4,5871","0,44%"
"09.11.2021","4,5853","4,5933","4,6021","4,5827","-0,06%"
"08.11.2021","4,5880","4,6009","4,6063","4,5845","-0,14%"
"05.11.2021","4,5944","4,6027","4,6304","4,5900","0,05%"
"04.11.2021","4,5921","4,5818","4,6119","4,5768","0,32%"
"03.11.2021","4,5775","4,6087","4,6140","4,5718","-0,55%"
"02.11.2021","4,6030","4,6172","4,6283","4,5995","-0,18%"
"01.11.2021","4,6113","4,6125","4,6269","4,6056","0,12%"
"29.10.2021","4,6056","4,6256","4,6338","4,6068","-0,33%"
"28.10.2021","4,6209","4,6222","4,6349","4,6104","0,08%"
"27.10.2021","4,6172","4,6094","4,6296","4,6045","0,29%"
"26.10.2021","4,6037","4,6129","4,6227","4,5956","-0,13%"
"25.10.2021","4,6096","4,6050","4,6232","4,5917","0,21%"
"22.10.2021","4,6001","4,6033","4,6115","4,5934","0,06%"
"21.10.2021","4,5974","4,5816","4,6127","4,5785","0,44%"
"20.10.2021","4,5772","4,5789","4,6019","4,5746","0,12%"
"19.10.2021","4,5717","4,5879","4,5923","4,5683","-0,25%"
"18.10.2021","4,5832","4,5690","4,5932","4,5575","0,40%"
"15.10.2021","4,5651","4,5694","4,5817","4,5587","0,04%"
"14.10.2021","4,5632","4,5730","4,5866","4,5616","-0,11%"
"13.10.2021","4,5681","4,5814","4,5894","4,5685","-0,18%"
"12.10.2021","4,5763","4,5897","4,5960","4,5725","-0,20%"
"11.10.2021","4,5855","4,6045","4,6190","4,5802","-0,21%"
"08.10.2021","4,5953","4,5837","4,6257","4,5774","0,36%"
"07.10.2021","4,5787","4,5490","4,5863","4,5378","0,75%"
"06.10.2021","4,5447","4,6076","4,6336","4,5447","-1,23%"
"05.10.2021","4,6013","4,5967","4,6256","4,5792","0,22%"
