"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"10.02.2022","5,3407","5,3264","5,3595","5,3169","0,44%"
"09.02.2022","5,3174","5,3706","5,3819","5,3128","-0,91%"
"08.02.2022","5,3662","5,3674","5,3988","5,3586","0,08%"
"07.02.2022","5,3619","5,3958","5,4041","5,3586","-0,54%"
"04.02.2022","5,3910","5,3981","5,4122","5,3626","-0,01%"
"03.02.2022","5,3914","5,4528","5,4716","5,3855","-1,04%"
"02.02.2022","5,4479","5,4811","5,4927","5,4391","-0,52%"
"01.02.2022","5,4763","5,4861","5,5006","5,4679","-0,10%"
"31.01.2022","5,4819","5,5095","5,5375","5,4819","-0,38%"
"28.01.2022","5,5029","5,4744","5,5300","5,4665","0,58%"
"27.01.2022","5,4710","5,4931","5,5065","5,4532","-0,30%"
"26.01.2022","5,4874","5,4721","5,5041","5,4696","0,33%"
"25.01.2022","5,4693","5,4371","5,4974","5,4321","0,68%"
"24.01.2022","5,4326","5,4144","5,4555","5,4014","0,47%"
"21.01.2022","5,4074","5,4417","5,4462","5,3874","-0,47%"
"20.01.2022","5,4332","5,4268","5,4501","5,4131","0,24%"
"19.01.2022","5,4204","5,4402","5,4572","5,4226","-0,26%"
"18.01.2022","5,4345","5,4125","5,4483","5,3983","0,52%"
"17.01.2022","5,4066","5,4342","5,4454","5,4063","-0,39%"
"14.01.2022","5,4280","5,4341","5,4482","5,4230","-0,03%"
"13.01.2022","5,4295","5,4201","5,4451","5,4135","0,28%"
"12.01.2022","5,4145","5,4413","5,4541","5,4104","-0,43%"
"11.01.2022","5,4377","5,4441","5,4619","5,4344","-0,01%"
"10.01.2022","5,4384","5,4405","5,4607","5,4279","0,10%"
"07.01.2022","5,4328","5,4557","5,4665","5,4295","-0,29%"
"06.01.2022","5,4487","5,4816","5,4900","5,4416","-0,47%"
"05.01.2022","5,4742","5,4735","5,4875","5,4545","0,15%"
"04.01.2022","5,4660","5,4598","5,4837","5,4490","0,21%"
"03.01.2022","5,4548","5,4613","5,4775","5,4443","0,01%"
"31.12.2021","5,4542","5,4709","5,4899","5,4483","-0,17%"
"30.12.2021","5,4636","5,4630","5,4910","5,4584","0,13%"
"29.12.2021","5,4563","5,4671","5,4813","5,4546","-0,06%"
"28.12.2021","5,4596","5,4615","5,4778","5,4474","0,08%"
"27.12.2021","5,4552","5,4629","5,4873","5,4457","-0,02%"
"24.12.2021","5,4564","5,4816","5,4914","5,4561","-0,36%"
"23.12.2021","5,4761","5,4630","5,5086","5,4502","0,38%"
"22.12.2021","5,4551","5,4324","5,4680","5,4252","0,54%"
"21.12.2021","5,4260","5,4213","5,4451","5,4102","0,23%"
"20.12.2021","5,4133","5,4592","5,4640","5,4100","-0,67%"
"17.12.2021","5,4496","5,4469","5,4633","5,4290","0,16%"
"16.12.2021","5,4408","5,4261","5,4756","5,4188","0,33%"
"15.12.2021","5,4227","5,4419","5,4535","5,4219","-0,25%"
"14.12.2021","5,4363","5,4330","5,4444","5,4156","0,14%"
"13.12.2021","5,4285","5,4162","5,4451","5,3997","0,36%"
"10.12.2021","5,4090","5,3882","5,4237","5,3816","0,51%"
"09.12.2021","5,3813","5,3693","5,3993","5,3609","0,29%"
"08.12.2021","5,3658","5,3868","5,3966","5,3423","-0,27%"
"07.12.2021","5,3802","5,3998","5,4201","5,3818","-0,22%"
"06.12.2021","5,3921","5,3832","5,4120","5,3714","0,36%"
"03.12.2021","5,3730","5,4157","5,4370","5,3737","-0,66%"
"02.12.2021","5,4088","5,4226","5,4324","5,3850","-0,14%"
"01.12.2021","5,4166","5,4632","5,4774","5,4152","-0,72%"
"30.11.2021","5,4557","5,5186","5,5310","5,4514","-1,04%"
"29.11.2021","5,5128","5,5540","5,5738","5,5133","-0,52%"
"26.11.2021","5,5415","5,5567","5,5799","5,5390","-0,12%"
"25.11.2021","5,5480","5,5675","5,5742","5,5314","-0,22%"
