"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"05.03.2019","1,0040","0,9991","1,0056","0,9981","0,52%"
"04.03.2019","0,9988","0,9985","1,0022","0,9972","0,00%"
"01.03.2019","0,9988","0,9984","1,0010","0,9962","0,07%"
"28.02.2019","0,9981","1,0015","1,0019","0,9925","-0,33%"
"27.02.2019","1,0014","0,9999","1,0019","0,9961","0,18%"
"26.02.2019","0,9996","1,0008","1,0021","0,9987","-0,10%"
"25.02.2019","1,0006","1,0006","1,0014","0,9982","0,05%"
"22.02.2019","1,0001","1,0013","1,0026","0,9987","-0,07%"
"21.02.2019","1,0008","1,0009","1,0024","0,9994","0,00%"
"20.02.2019","1,0008","1,0011","1,0022","0,9980","-0,02%"
"19.02.2019","1,0010","1,0043","1,0062","1,0000","-0,31%"
"18.02.2019","1,0041","1,0057","1,0058","1,0022","-0,09%"
"15.02.2019","1,0050","1,0048","1,0091","1,0044","0,03%"
"14.02.2019","1,0047","1,0093","1,0100","1,0043","-0,43%"
"13.02.2019","1,0090","1,0065","1,0095","1,0043","0,27%"
"12.02.2019","1,0063","1,0039","1,0094","1,0036","0,26%"
"11.02.2019","1,0037","1,0001","1,0100","0,9988","0,37%"
"08.02.2019","1,0000","1,0023","1,0030","0,9995","-0,21%"
"07.02.2019","1,0021","1,0026","1,0031","0,9999","-0,02%"
"06.02.2019","1,0023","1,0001","1,0028","0,9986","0,26%"
"05.02.2019","0,9997","0,9980","1,0022","0,9973","0,20%"
"04.02.2019","0,9977","0,9953","0,9995","0,9943","0,20%"
"01.02.2019","0,9957","0,9941","0,9964","0,9922","0,15%"
"31.01.2019","0,9942","0,9943","0,9954","0,9906","-0,01%"
"30.01.2019","0,9943","0,9947","0,9997","0,9932","-0,03%"
"29.01.2019","0,9946","0,9921","0,9960","0,9908","0,30%"
"28.01.2019","0,9916","0,9932","0,9935","0,9904","-0,15%"
"25.01.2019","0,9931","0,9967","0,9976","0,9921","-0,34%"
"24.01.2019","0,9965","0,9950","0,9979","0,9934","0,18%"
"23.01.2019","0,9947","0,9974","0,9991","0,9939","-0,25%"
"22.01.2019","0,9972","0,9972","0,9988","0,9960","0,00%"
"21.01.2019","0,9972","0,9941","0,9990","0,9940","0,15%"
"18.01.2019","0,9957","0,9941","0,9961","0,9931","0,14%"
"17.01.2019","0,9943","0,9903","0,9955","0,9894","0,41%"
"16.01.2019","0,9902","0,9879","0,9911","0,9872","0,23%"
"15.01.2019","0,9879","0,9809","0,9894","0,9800","0,71%"
"14.01.2019","0,9809","0,9842","0,9848","0,9799","-0,34%"
"11.01.2019","0,9842","0,9843","0,9858","0,9813","-0,02%"
"10.01.2019","0,9844","0,9745","0,9851","0,9715","1,02%"
"09.01.2019","0,9745","0,9812","0,9822","0,9732","-0,69%"
"08.01.2019","0,9813","0,9798","0,9836","0,9786","0,16%"
"07.01.2019","0,9797","0,9859","0,9870","0,9787","-0,69%"
"04.01.2019","0,9865","0,9867","0,9909","0,9852","-0,02%"
"03.01.2019","0,9867","0,9902","0,9907","0,9847","-0,35%"
"02.01.2019","0,9902","0,9816","0,9921","0,9796","0,88%"
"01.01.2019","0,9816","0,9816","0,9819","0,9816","0,00%"
"31.12.2018","0,9816","0,9841","0,9876","0,9808","-0,27%"
"28.12.2018","0,9843","0,9879","0,9888","0,9790","-0,34%"
"27.12.2018","0,9877","0,9957","0,9959","0,9841","-0,81%"
"26.12.2018","0,9958","0,9862","0,9965","0,9852","0,96%"
"25.12.2018","0,9863","0,9888","0,9893","0,9860","0,01%"
"24.12.2018","0,9862","0,9934","0,9955","0,9858","-0,90%"
"21.12.2018","0,9952","0,9879","0,9960","0,9861","0,74%"
"20.12.2018","0,9879","0,9943","0,9956","0,9839","-0,67%"
"19.12.2018","0,9946","0,9926","0,9957","0,9906","0,19%"
"18.12.2018","0,9927","0,9928","0,9939","0,9899","-0,03%"
"17.12.2018","0,9930","0,9960","0,9987","0,9916","-0,48%"
