"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"10.02.2022","3,9210","3,9359","3,9601","3,9135","-0,22%"
"09.02.2022","3,9295","3,9663","3,9718","3,9237","-0,84%"
"08.02.2022","3,9629","3,9650","3,9859","3,9597","0,03%"
"07.02.2022","3,9618","3,9853","3,9961","3,9616","-0,65%"
"04.02.2022","3,9878","3,9699","4,0015","3,9544","0,56%"
"03.02.2022","3,9657","4,0160","4,0303","3,9557","-1,16%"
"02.02.2022","4,0123","4,0549","4,0598","4,0087","-0,94%"
"01.02.2022","4,0505","4,0797","4,0862","4,0503","-0,66%"
"31.01.2022","4,0773","4,1122","4,1244","4,0739","-0,68%"
"28.01.2022","4,1054","4,0912","4,1262","4,0855","0,44%"
"27.01.2022","4,0874","4,0793","4,1065","4,0743","0,27%"
"26.01.2022","4,0765","4,0539","4,0863","4,0489","0,62%"
"25.01.2022","4,0513","4,0314","4,0785","4,0276","0,56%"
"24.01.2022","4,0286","3,9943","4,0499","3,9875","0,98%"
"21.01.2022","3,9895","4,0013","4,0114","3,9736","-0,18%"
"20.01.2022","3,9965","3,9880","4,0069","3,9718","0,32%"
"19.01.2022","3,9838","4,0016","4,0143","3,9804","-0,35%"
"18.01.2022","3,9977","3,9662","4,0114","3,9590","0,89%"
"17.01.2022","3,9623","3,9739","3,9832","3,9534","-0,19%"
"14.01.2022","3,9699","3,9650","3,9846","3,9506","0,20%"
"13.01.2022","3,9621","3,9559","3,9674","3,9423","0,26%"
"12.01.2022","3,9519","3,9915","4,0016","3,9491","-0,92%"
"11.01.2022","3,9886","4,0089","4,0173","3,9885","-0,42%"
"10.01.2022","4,0053","4,0029","4,0231","3,9959","0,16%"
"07.01.2022","3,9991","4,0318","4,0364","3,9975","-0,71%"
"06.01.2022","4,0277","4,0441","4,0602","4,0188","-0,28%"
"05.01.2022","4,0391","4,0439","4,0494","4,0241","-0,03%"
"04.01.2022","4,0405","4,0525","4,0634","4,0321","-0,22%"
"03.01.2022","4,0493","4,0366","4,0604","4,0317","0,44%"
"31.12.2021","4,0315","4,0537","4,0648","4,0275","-0,44%"
"30.12.2021","4,0492","4,0498","4,0759","4,0448","0,09%"
"29.12.2021","4,0456","4,0690","4,0855","4,0436","-0,45%"
"28.12.2021","4,0640","4,0645","4,0737","4,0539","0,10%"
"27.12.2021","4,0599","4,0817","4,0942","4,0581","-0,41%"
"24.12.2021","4,0765","4,0891","4,0934","4,0717","-0,19%"
"23.12.2021","4,0841","4,0909","4,1019","4,0809","-0,07%"
"22.12.2021","4,0868","4,0942","4,1096","4,0817","-0,09%"
"21.12.2021","4,0905","4,1045","4,1107","4,0873","-0,20%"
"20.12.2021","4,0988","4,1213","4,1272","4,0943","-0,43%"
"17.12.2021","4,1166","4,0884","4,1259","4,0784","0,77%"
"16.12.2021","4,0850","4,0929","4,1033","4,0778","-0,09%"
"15.12.2021","4,0886","4,1102","4,1248","4,0881","-0,44%"
"14.12.2021","4,1066","4,1102","4,1206","4,0888","-0,02%"
"13.12.2021","4,1075","4,0809","4,1134","4,0787","0,76%"
"10.12.2021","4,0764","4,0760","4,1029","4,0708","0,14%"
"09.12.2021","4,0709","4,0666","4,0884","4,0601","0,21%"
"08.12.2021","4,0622","4,0675","4,0796","4,0486","-0,02%"
"07.12.2021","4,0630","4,0711","4,0945","4,0637","-0,05%"
"06.12.2021","4,0652","4,0644","4,0842","4,0549","0,12%"
"03.12.2021","4,0604","4,0693","4,0946","4,0506","-0,11%"
"02.12.2021","4,0649","4,0833","4,0893","4,0473","-0,36%"
"01.12.2021","4,0794","4,1081","4,1173","4,0641","-0,59%"
"30.11.2021","4,1036","4,1445","4,1540","4,0966","-0,91%"
"29.11.2021","4,1412","4,1637","4,1792","4,1426","-0,34%"
"26.11.2021","4,1553","4,1711","4,1939","4,1556","-0,24%"
"25.11.2021","4,1652","4,1773","4,1812","4,1556","-0,18%"
"24.11.2021","4,1729","4,1810","4,1911","4,1556","-0,10%"
"23.11.2021","4,1770","4,1883","4,2036","4,1719","-0,18%"
"22.11.2021","4,1845","4,1617","4,1958","4,1527","0,63%"
"19.11.2021","4,1581","4,1065","4,1681","4,1006","1,35%"
"18.11.2021","4,1029","4,1182","4,1215","4,1002","-0,29%"
"17.11.2021","4,1150","4,1124","4,1283","4,1028","0,15%"
"16.11.2021","4,1090","4,0823","4,1178","4,0771","0,75%"
"15.11.2021","4,0786","4,0532","4,0881","4,0368","0,77%"
"12.11.2021","4,0476","4,0481","4,0652","4,0405","0,05%"
"11.11.2021","4,0454","4,0166","4,0520","4,0086","0,82%"
"10.11.2021","4,0125","3,9604","4,0226","3,9573","1,43%"
"09.11.2021","3,9559","3,9637","3,9729","3,9522","-0,09%"
"08.11.2021","3,9595","3,9774","3,9834","3,9552","-0,32%"
"05.11.2021","3,9723","3,9837","4,0093","3,9714","-0,06%"
"04.11.2021","3,9748","3,9459","3,9973","3,9423","0,81%"
"03.11.2021","3,9427","3,9802","3,9841","3,9439","-0,84%"
"02.11.2021","3,9760","3,9774","3,9888","3,9646","0,05%"
"01.11.2021","3,9739","3,9890","4,0008","3,9741","-0,25%"
"29.10.2021","3,9837","3,9600","4,0003","3,9509","0,68%"
"28.10.2021","3,9566","3,9826","3,9999","3,9498","-0,56%"
"27.10.2021","3,9790","3,9748","3,9906","3,9675","0,17%"
"26.10.2021","3,9723","3,9743","3,9857","3,9550","0,02%"
"25.10.2021","3,9717","3,9532","3,9861","3,9406","0,56%"
"22.10.2021","3,9496","3,9604","3,9662","3,9480","-0,16%"
"21.10.2021","3,9561","3,9328","3,9681","3,9265","0,68%"
"20.10.2021","3,9293","3,9364","3,9535","3,9289","-0,03%"
"19.10.2021","3,9303","3,9515","3,9529","3,9182","-0,45%"
"18.10.2021","3,9480","3,9397","3,9609","3,9290","0,30%"
"15.10.2021","3,9361","3,9395","3,9524","3,9274","0,01%"
"14.10.2021","3,9358","3,9446","3,9555","3,9313","-0,12%"
"13.10.2021","3,9407","3,9739","3,9792","3,9415","-0,74%"
"12.10.2021","3,9701","3,9731","3,9786","3,9602","0,01%"
"11.10.2021","3,9698","3,9801","3,9975","3,9590","-0,08%"
"08.10.2021","3,9728","3,9678","4,0007","3,9615","0,22%"
"07.10.2021","3,9642","3,9358","3,9692","3,9272","0,80%"
"06.10.2021","3,9328","3,9710","4,0090","3,9335","-0,89%"
"05.10.2021","3,9680","3,9550","3,9858","3,9464","0,43%"
"04.10.2021","3,9512","3,9474","3,9598","3,9225","0,17%"
"01.10.2021","3,9446","3,9793","3,9918","3,9430","-0,80%"
"30.09.2021","3,9763","3,9956","4,0167","3,9582","-0,41%"
"29.09.2021","3,9926","3,9676","3,9993","3,9597","0,71%"
"28.09.2021","3,9646","3,9309","3,9746","3,9276","0,95%"
"27.09.2021","3,9271","3,9300","3,9390","3,9209","0,09%"
"24.09.2021","3,9236","3,9297","3,9427","3,9209","-0,09%"
"23.09.2021","3,9270","3,9541","3,9604","3,9186","-0,61%"
"22.09.2021","3,9510","3,9409","3,9601","3,9288","0,35%"
"21.09.2021","3,9371","3,9275","3,9481","3,9191","0,34%"
"20.09.2021","3,9239","3,9155","3,9349","3,9104","0,32%"
"17.09.2021","3,9113","3,8877","3,9205","3,8821","0,68%"
"16.09.2021","3,8850","3,8631","3,9002","3,8572","0,66%"
"15.09.2021","3,8594","3,8523","3,8718","3,8442","0,26%"
"14.09.2021","3,8493","3,8530","3,8614","3,8405","-0,01%"
"13.09.2021","3,8495","3,8462","3,8666","3,8421","0,14%"
"10.09.2021","3,8441","3,8435","3,8504","3,8351","0,10%"
"09.09.2021","3,8401","3,8239","3,8529","3,8170","0,50%"
